,id,username,bio
62,49008376868,faraz_ahmad2471,"👉 Alhamdulillah for everything 🙂
👉 Believe in Allah 🤲
👉 Wish in on 2 January 🍰
👉Lives in Rosera 😌
    🧐No ego 😈No Attitude 🙄"
63,48989145789,manisha15499,I love mom dad
64,48214606704,amlak1573306,"املاک گرند
یزد بلوار مدرس پشت دادگستری
آقای عباسی 
۰۹۱۳۱۵۷۳۳۰۶"
65,49221313191,raj126813,ghjj
66,48885644211,shahi_d1583,The bad news is time flies. The good news is you’re the pilot.
67,48690189077,mehdy_______12,mehdy
68,48531768340,mateus__20211,"A música trasformar tristeza em alegria🙅🙅 
DJ
@mateus_ibeiro15
@djlucasbeatoficial"
69,51564126932,pillar.socialmedia,"✒️Perfil principal @gustafdesign
🚀 @cosmossocialmedia
Confere lá, te dou um cavalo descolado. 👌🐴🤙
👇Contato"
70,52278793029,bemsluxury,"💖 Old account got disabled 
💖 No 1 dealer in all fashion accessories
💖 Female/male accessories 
💖 Kiddies wears 
💖 Household appliances
LAGOS, NIGERIA"
71,35935475057,alobam_graphics,"GRAPHICS DESIGNING & ARTWORK💻📱📝
Name it, we brand it...💯🔥👤
☎ +234 (0)7025472818"
72,26112953636,oluwadarasimi_anike,"💧Keep pushing until you become the best💥💎🥂
💧Horticulturist 
💧Fashion designer
💧March 28
💧Tiktok: ruby_baby28"
73,40937465734,orazulikechinemerem99,"My name is Orazulike chinemerem
I am cool and don't snub# Gamer"
74,40390075340,macdripper11,"❤🇳🇬
Gymrat😁, Contemporary artist/ gospel rapper, influencer, humanitarian, #BB💪#I_talk_when_its_necessary #phone addict😅 #always busy😎"
75,5705662913,lion_boss_one,Happy and handsome 😍😍
76,13576920143,joshconceptss,"❤️ SIRJOSH ❤️
🔹Fashion designer
🔹TECNO Campus Rep
🔹FC Barcelona fan💙❤️
Call/WhatsApp ☎+234 7051445600"
77,9552895299,i.am_oluwatunmise,❤️✨💯
78,47688892629,kharashi001,❤️❤️❤️❤️
79,46089602309,cbody25,"Content creator 
https://youtube.com/shorts/-yMCdyxEFqQ?si=Ar1nMhIqDJBblFnc
TikTok @cbody"
80,6586543252,jojogiftcard,"GIFT CARD & BITCOIN
Steam
eBay
iTunes 
Amazon
Google play
Apple store
Vanilla and Visa 
TRANSFER FUNDS
AND EDD
Fast payment
WhatsApp +447539358361"
81,45540637906,muyyokcollection,Buy your customized shirt(round neck) at affordable price❤❤❤❤😍😍
82,45530497762,oluwa_snugzygram,"#Rapper
#Performing-#Artist
#Graphics & #Design’s
#Showkiller 
#Hustler
#Contact +2349032137306
#Or +2348144073500
#Email oluwasnugzy@icloud.com"
83,44843901323,awoniyiitunuoluwaolarinre,"We bake the most yummy cakes,we make doughnuts, small chops,egg rolls,meat pie e.t.c. We are always at your satisfaction Only the best is good enough."
84,5647280807,judeanuoluwa,Ghostwriter-Author-Editor. 🌸🌺
85,34988160803,ayodaras_collection,"We sell UNISEX wears,etc..just exactly as seen in the uploaded pictures •Everything plug •No refund•No exchange •Nationwide delivery •No scam zone"
86,4041215691,h_h_faisal45,"Sports events 
business inquire 📩
🇦🇪🇦🇪
Snapchat.com/hh Faisal"
87,32242343581,becca_natt,"Grateful heart😇😇
21 June🎂
Fashion lover💄
Music🎶
Memyself&I😍"
88,10090037933,_petermahn,"Your realest gee🤓😎
Automobile technician 🔧🔧🚘🚘
Crypto Enthusiast 
Front end dev 😶
Shoe Maker 👟😶"
89,8158838128,toptalentig,"▫️ Featuring Instagram’s TOP creators ▪️
 
💫 Amazing people from around the world 
🎬 Daily content
💰 Guaranteed features"
90,23141147823,sugar_dadddy_austin_,Sugar Daddy❤
91,16023698598,funmi_herbal__1,"🧑‍⚕️ Lagos state certified herbal practitioner 
✨Deals with all kinds of herbs  🌿
✨We treat all aliments with nature
✨ satisfied over 2000 clients"
92,13203320567,bet9ja_agency,"##NewAccount
Winning is 100% safe! 
Note: Only bet9ja Users!
100% money back guarantee! 
Whatsapp/calls: +2349076976790
Telegram click link below."
93,7485851701,alhji__karkodi_invest,"500% Guaranteed Cash Refundable Invest Binary money Toady And Get Paid Today 50,000=
200,00 100,000=400,000 200,000=800,000
 Dm  me +2347054390575"
94,18612917323,___sadeeya_mahad_,"---------First of Allah -------
@@------New account--@@@
&&&&&--Proudly Muslim-&&&&
######------Mom is hero---###
$$$$$----Dad is a life-----#####"
95,16572917716,daddy___03,"Play-boy-daddy-03 
New account
Follow for a follower🥊📲📲"
96,2026137765,futmxfaces,"Join the community of Futmx students online
👉FOLLOW US
👉Send In Ur Pix
📱08130917487
📸HD Pics are given Preference 
🎂WE OWE U A BDAY S/O🎂
🕊 @futmxfaces"
97,3149759961,funky_dupsy,"Tech. 
Artist 
Baker"
98,16495053323,damiherz_112,A nice guy with a good heart
99,9870735921,omoteyefavour,"🔥God's own
🔬 Medical Laboratory Tech
✍️ Writer"
100,15186573512,bluetooth_logistic_and_haulage,"We pick up and deliver your valuables
👇
🚐 :- Interstate delivery
🚛 :- Urban transport
👇
Whatever the load  we carry it...
👇
We are just a dm/call away"
101,12289627808,spatulaplace,GYM/ SPA/ HEALTH AND BEAUTY
102,14185278553,photoshop_clean,"🦠Photoshop your Pictures 
🦠Edit Documents
🦠Get Driver License and Passports e.t.c"
103,11688903668,greatmind_j,"I love to write inspirational quotes and books to inspire someone, and to tell someone to continue moving despite the challenges."
104,11807350283,chairman_.donald980,"[ONLY IG]
Chairman📍W.E. CEO⚡️’
6 figure C R E A T O R
RETIRED @ 22
TIME TRAVELOR
#1 FOREX Signals/EDU💡
R|A 💜WELL DONE"
105,10825002406,omojostephen,The Lord is my strength
106,7882973049,king_rajah_official,KING RAJAH OFFICIAL  NAIJA NUMBER ONE TRENDING BLOGGER.
107,2066758292,don_dindu,"Bad energy❌
Software Dev"
108,8606447322,mmjmakkeys_interiors,Art is  God's way of showing his appreciation and love for makind. Keep your visitors overwhelmed  with our wall arts and interior decor.
109,234771953,skyjmuzic,Afro pop musician
110,8724552184,caninasfabrics,"Fabric Merchant 
No 1 fabric Store
Asoebi X Bridal
Men'sFabrics & Lace. 
Retail & Wholesale. 
Dm/WhatsApp /Call: +2349032654800"
111,8634160390,__nocap98,#You
112,2028473416,thesuperlily,Cheers to a fantastic 2025!
113,680224365,tripple.aphotos,"Portrait, Event, Storytelling Photographer.
 Lagos,Ogun state Nigeria.🇳🇬
For bookings and inquiries 📲 trippleamediahouse@gmail.com.📩"
114,5807696076,mjj_event_management,"Cakes
Small chops
Snacks
Training"
115,8619526540,mubby_omoalhaji,Student
116,3709712833,blackboy_gram.ng,"I advice people and learn from the mistakes they make
H.A.M.B.O.I 
P'n'P
Proud 🇳🇬
Everything that glitters ain't gold"
117,4322395657,rejoice_jesus_baby,"Ambassador for Jesus
Mathew 6:33
Seek first the kingdom of God
Jeremiah 29:11
His thought for us is good
Jesus is the only one that can give us peace."
118,5902216300,muyyok,Gentle guy
119,6857811993,promisehalexx,"Available for at your any service 
 Event / Birthday shoot/ Wedding shoot /
 For any other thing,  CALL : +2348139252688 OR 08106010400"
120,7432043415,pauloyelabi,🌱
121,5728991312,official_alaanu01,😊
122,6024695909,chriofashionhub,Christian|Fashion designer|Reader
123,6874110922,crediblefixedmat_ches,Welcome to credible fixed matches where we sell fixed matches all around the world. You can DM me or message me on whatsapp via +2347038141022.
124,2959857402,iam_leckzie01,"Virgo Product♍21.9
Nonchalant | unbothered |  all of that.✨💫
He that is without sin among you, let him first cast a stone at her💯"
125,6724182934,corrects4281,We make pauper to be the best and make a satisfaction for all our customers
126,1502714644,adigun_tumininu,"The best person you can be is you. Be yourself always, don't allow pple's attitude towards you mislead ur actions~oluwatumininu 
Blessed Child✌"
127,4923381359,flexyz_fans,"Hip-hop music 
Singer/Rapper 
Songs writer.."
128,5828810715,empressvik99,#Kwara state university #linguist***
129,6181752563,itz_dj_shalixx_,"Never Gav up 
  Continue running 
     Ur life it
      Will be 
    Fantastic after......"
130,5699745237,signature_world,"We build the story.... We make it BEAUTIFUL 
Event coverage 🎥
Red carpet 
Photography 📷 
Cinematography 🎬
Available to travel 🌏🌍"
131,2267159718,official_jefmweds,Kenyan
132,4938697907,mcgbemzy,IT IS AN ELECTION OF GRACE!!!
133,5696415490,omodasolataiwo,"Gentle, simple, and principle lady"
134,3086794522,kennyg_art_collections,"-/A SELF THOUGHT FEMALE REALISTIC ARTIST/
 🇳🇬 🇬🇧 
For commissions and  trainings; DM.
Personal page: @kenglogirl 
 🌍 delivery"
135,1469082016,ore_ayodeji,Civil Engineer | Criminologist | Photographer
136,5437970185,holu_tayour7283,behulah area ogbomoso
137,5403126817,homotennyholarh,empty
138,6742012644,badmus4333,empty
139,2598870114,joe_el_embroiedry_fashion,empty
140,6472259854,ayodeji_0001,empty
141,2553785634,braihmo,empty
142,6619505530,wandephillip,empty
143,4761258604,racheal.ogundipe,in_progress
144,6354939943,oluwadarasimi2025,empty
145,2868612087,muchyetty01,empty
146,6509031367,ayooluwa_dorcas,empty
147,2165268609,elsarahmah927,empty
148,1523339527,dunmininuoluwar,empty
149,72638221887,uniongraphic_design,empty
150,72768060533,penguin.8196546,empty
151,69815917932,rejoiceaml,empty
152,6041819176,aritradassharma,empty
153,70821658638,gbondo.francis,empty
154,49036674123,neew641,empty
155,67037086717,igbkblack,empty
156,59232475901,traci_e_alcide,empty
157,61613940667,nylahq__sofiar,empty
158,54555638890,adeola_adepoju_a5_hair,empty
159,48457191723,uniongraphicdesign,empty
160,56549405385,sahnahfee,empty
161,49001723136,instag5987,empty
162,48522466648,dhil.lon2702,empty
163,48677685658,elle.n3107,empty
164,48921705012,rajkot.no.king.302,empty
165,48751885996,mamuni2248,empty
166,48812534423,tonn.y6300,empty
167,48805035873,fernando__4089,empty
168,49605307364,raymondgloden,empty
169,49030709663,happyk498,empty
170,48990078319,shayang26,empty
171,49023419178,wwe123896,empty
172,48922433853,vikas.h8393,empty
173,48617312582,zari.na9722,empty
174,48574004845,rahu.l15570,empty
175,48904754408,numakhan23,empty
176,48683295733,kulla5717,empty
177,48807174553,romu1_122,empty
178,48976337838,no.ni9716,empty
179,49777882605,tannahillkaye,empty
180,48778995153,bgmi4449,empty
181,48688876453,kimkardashin10,empty
182,48841776500,dev_patel_780,empty
183,48431974645,shoyab44125,empty
184,49772819695,myrtalekwa,empty
185,48398352150,pereirabeatrizjesus,empty
186,48786550301,turgut.34.63,empty
187,49405934810,terresacudworth1993421,empty
188,48551918333,hina.ta6784,empty
189,49218554312,asif129429,empty
190,48754676311,nahid__mansuri__420,empty
191,48663714412,_bilal_10_10_,empty
192,46630555661,6628.abhi,empty
193,48965889409,jujuba21423,empty
194,48862220928,muhammed76523,empty
195,49040789462,chint_u3777,empty
196,49944836041,carranmoallankamp,empty
197,49047699353,suru._123,empty
198,48883894246,akias__,empty
199,48974802088,arey5622,empty
200,48658273994,shak.ti8102,empty
201,49612993818,nicodemushackett,empty
202,49413094254,kiltzannamae,empty
203,49211384731,gujj_ar5819,empty
204,48906912528,yapr.ak4934,empty
205,48668650936,riyaz147550,empty
206,9166534011,thyr_123,empty
207,48867607086,mrmanoj331,empty
208,49767019928,marybellegroner,empty
209,49749758368,ludowoodworth,empty
210,49767907870,dawsonmcclurken1996644,empty
211,49637872258,farleymasom,empty
212,48903154453,akai6412,empty
213,48934512264,belal123573,empty
214,48900002880,ravi2021531,empty
215,48891840077,zeyn.ab2529,empty
216,49027867251,anuks.ha22,empty
217,48337500400,nbkhan280,empty
218,18408291754,aslononfarkhod,empty
219,49796584274,halleyzeldin,empty
220,49634712163,arielleashburn20007,empty
221,48560672489,deep.singh4140,empty
222,48281122133,aashi_sh647,empty
223,53628841267,ezekielolayinka4,empty
224,33483034975,classic_crownn,empty
225,50294322146,phancy43,empty
226,49928352948,abbas_giwa,empty
227,14565836170,engrolorunkiya,empty
228,5582459979,kingzegs1,empty
229,6869576752,itzsolex_official,empty
230,4343125337,diatops,empty
231,31287906866,ahmed_kudu,empty
232,32036276935,thomasthomsonola,empty
233,31355425867,sundayarumemi,empty
234,30872914642,alogin_alog,empty
235,29673628371,fridayjames29,empty
236,29844137113,folusoakanni,empty
237,28742812157,joshua.adigun.5648,empty
238,28256123848,mhiz_seunfunmi,empty
239,25047645266,mhiztertaiwo,empty
240,1913006318,esumichael.me,empty
241,12780268624,prozkid_olawale,empty
242,17686239102,official_temidee,empty
243,1409849427,lekt.ua,empty
244,19616369019,ifeanyi_tyx,empty
245,12577396358,calebjoel8,empty
246,18878575361,eogungbile,empty
247,18006959836,oluseyeoke_,empty
248,17707913197,zephaniahgift,empty
249,2341726321,kim_smith431,empty
250,14533200290,promiseoladimeji5,empty
251,14322180159,itzprincegoldharlao,empty
252,14181360089,marvelboimarvelboi,empty
253,13943123051,habeebllahialistijabah,empty
254,13938395233,haryourbarmi_oladayo,empty
255,12661467237,umaru988,empty
256,12608284524,ezekiel.akanbi,empty
257,12364251230,atoyebi.segun.750,empty
258,11550630728,yungsufficiency,empty
259,11419378717,adebanjo837,empty
260,10446296528,vicmills_,empty
261,9513752352,ad.ele551,empty
262,8941765720,oyediji_sogo,empty
263,6897040509,adeniyi9504,empty
264,9300864010,darazime_292,empty
265,9161358056,adeyemimecry,empty
266,4667502110,justinmaster1,empty
267,1326065326,raymond_ability,empty
268,4200668004,iamphyctor,empty
269,9053189541,ibr_magnet23,empty
270,8554383092,atanda.joseph,empty
271,8567428724,olabisimichaelajagbe2,empty
272,8140757275,samuel.oladeji.355,empty
273,7209172726,rachaeloluwasemilo,empty
274,7795791748,areo.sunday.146,empty
275,3313232844,martins_adegbite,empty
276,7097706090,adeshinataiwoisaac,empty
277,6944658987,irdammy,empty
278,7023386995,giftolaniyan,empty
279,6897880028,ugwu.susan,empty
280,5406100464,oladejo.damola,empty
281,6319707251,nefariya_,empty
282,6078090028,akanniolayemi5158,empty
